model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
SegFormer-B0,Day-FOGGY,0,road,0.9897582259215894,52877753.0,0.8
SegFormer-B0,Day-FOGGY,1,sidewalk,0.9272567468771896,2103714.0,0.8
SegFormer-B0,Day-FOGGY,2,building,0.9772386195624796,20775761.0,0.8
SegFormer-B0,Day-FOGGY,3,wall,0.744818954782269,2857242.0,0.8
SegFormer-B0,Day-FOGGY,4,fence,0.8948602759923515,1302210.0,0.8
SegFormer-B0,Day-FOGGY,5,pole,0.9672805451169567,337689.0,0.8
SegFormer-B0,Day-FOGGY,6,traffic light,0.7977143973432311,10238.0,0.8
SegFormer-B0,Day-FOGGY,7,traffic sign,0.6484568366704222,112723.0,0.8
SegFormer-B0,Day-FOGGY,8,vegetation,0.9566293767543425,22784178.0,0.8
SegFormer-B0,Day-FOGGY,9,terrain,0.9730172562440509,1293271.0,0.8
SegFormer-B0,Day-FOGGY,10,sky,0.9200488453229622,45838575.0,0.8
SegFormer-B0,Day-FOGGY,11,person,0.5326251896813353,54697.0,0.8
SegFormer-B0,Day-FOGGY,12,rider,0.9851224300030995,9679.0,0.8
SegFormer-B0,Day-FOGGY,13,car,0.9679993799430515,2851351.0,0.8
SegFormer-B0,Day-FOGGY,14,truck,0.9974170946768399,269464.0,0.8
SegFormer-B0,Day-FOGGY,15,bus,0.7150875270448734,142356.0,0.8
SegFormer-B0,Day-FOGGY,16,train,0.46792574897979494,522444.0,0.8
SegFormer-B0,Day-FOGGY,17,motorcycle,0.7495541401273885,3925.0,0.8
SegFormer-B0,Day-FOGGY,18,bicycle,0.044368357229474284,14019.0,0.8
SegFormer-B0,Day-RAIN,0,road,0.9771133050982708,52877753.0,0.8
SegFormer-B0,Day-RAIN,1,sidewalk,0.782931520159109,2103714.0,0.8
SegFormer-B0,Day-RAIN,2,building,0.9461498907308378,20775761.0,0.8
SegFormer-B0,Day-RAIN,3,wall,0.6883022159131078,2857242.0,0.8
SegFormer-B0,Day-RAIN,4,fence,0.8283003509418604,1302210.0,0.8
SegFormer-B0,Day-RAIN,5,pole,0.8900289911723509,337689.0,0.8
SegFormer-B0,Day-RAIN,6,traffic light,0.8455753076772807,10238.0,0.8
SegFormer-B0,Day-RAIN,7,traffic sign,0.7117181054443192,112723.0,0.8
SegFormer-B0,Day-RAIN,8,vegetation,0.9523209922253943,22784178.0,0.8
SegFormer-B0,Day-RAIN,9,terrain,0.8402113710119534,1293271.0,0.8
SegFormer-B0,Day-RAIN,10,sky,0.9928942599110029,45838575.0,0.8
SegFormer-B0,Day-RAIN,11,person,0.5701226758323126,54697.0,0.8
SegFormer-B0,Day-RAIN,12,rider,0.3508626924269036,9679.0,0.8
SegFormer-B0,Day-RAIN,13,car,0.8961155606587895,2851351.0,0.8
SegFormer-B0,Day-RAIN,14,truck,0.9168571683044859,269464.0,0.8
SegFormer-B0,Day-RAIN,15,bus,0.25499452077889234,142356.0,0.8
SegFormer-B0,Day-RAIN,16,train,0.29834585142139636,522444.0,0.8
SegFormer-B0,Day-RAIN,17,motorcycle,0.19923566878980892,3925.0,0.8
SegFormer-B0,Day-RAIN,18,bicycle,0.044368357229474284,14019.0,0.8
SegFormer-B0,Night-EXTRASUNNY,0,road,0.9439083578305606,52877753.0,0.8
SegFormer-B0,Night-EXTRASUNNY,1,sidewalk,0.622250933349305,2103714.0,0.8
SegFormer-B0,Night-EXTRASUNNY,2,building,0.8988951596045026,20775761.0,0.8
SegFormer-B0,Night-EXTRASUNNY,3,wall,0.6864073816638563,2857242.0,0.8
SegFormer-B0,Night-EXTRASUNNY,4,fence,0.6768585711981938,1302210.0,0.8
SegFormer-B0,Night-EXTRASUNNY,5,pole,0.7825543621497887,337689.0,0.8
SegFormer-B0,Night-EXTRASUNNY,6,traffic light,0.5524516507130299,10238.0,0.8
SegFormer-B0,Night-EXTRASUNNY,7,traffic sign,0.3373934334607844,112723.0,0.8
SegFormer-B0,Night-EXTRASUNNY,8,vegetation,0.9204767887610429,22784178.0,0.8
SegFormer-B0,Night-EXTRASUNNY,9,terrain,0.6096726826782631,1293271.0,0.8
SegFormer-B0,Night-EXTRASUNNY,10,sky,0.3912160445650852,45838575.0,0.8
SegFormer-B0,Night-EXTRASUNNY,11,person,0.43964019964531875,54697.0,0.8
SegFormer-B0,Night-EXTRASUNNY,12,rider,0.487550366773427,9679.0,0.8
SegFormer-B0,Night-EXTRASUNNY,13,car,0.9374987505922631,2851351.0,0.8
SegFormer-B0,Night-EXTRASUNNY,14,truck,0.10953596769883918,269464.0,0.8
SegFormer-B0,Night-EXTRASUNNY,15,bus,0.04471887380932311,142356.0,0.8
SegFormer-B0,Night-EXTRASUNNY,16,train,0.3185929975270077,522444.0,0.8
SegFormer-B0,Night-EXTRASUNNY,17,motorcycle,0.045095541401273885,3925.0,0.8
SegFormer-B0,Night-EXTRASUNNY,18,bicycle,0.044368357229474284,14019.0,0.8
SegFormer-B0,Night-FOGGY,0,road,0.9494960574440445,52877753.0,0.8
SegFormer-B0,Night-FOGGY,1,sidewalk,0.6164559441064708,2103714.0,0.8
SegFormer-B0,Night-FOGGY,2,building,0.957153819780657,20775761.0,0.8
SegFormer-B0,Night-FOGGY,3,wall,0.37914289374158716,2857242.0,0.8
SegFormer-B0,Night-FOGGY,4,fence,0.6997235468933583,1302210.0,0.8
SegFormer-B0,Night-FOGGY,5,pole,0.34276804989206044,337689.0,0.8
SegFormer-B0,Night-FOGGY,6,traffic light,0.37194764602461416,10238.0,0.8
SegFormer-B0,Night-FOGGY,7,traffic sign,0.050380135376098936,112723.0,0.8
SegFormer-B0,Night-FOGGY,8,vegetation,0.6749870897251593,22784178.0,0.8
SegFormer-B0,Night-FOGGY,9,terrain,0.4867038694906172,1293271.0,0.8
SegFormer-B0,Night-FOGGY,10,sky,0.2751055197505594,45838575.0,0.8
SegFormer-B0,Night-FOGGY,11,person,0.3310784869371263,54697.0,0.8
SegFormer-B0,Night-FOGGY,12,rider,0.89720012397975,9679.0,0.8
SegFormer-B0,Night-FOGGY,13,car,0.8931902806774753,2851351.0,0.8
SegFormer-B0,Night-FOGGY,14,truck,0.14244203307306355,269464.0,0.8
SegFormer-B0,Night-FOGGY,15,bus,0.5756553991401837,142356.0,0.8
SegFormer-B0,Night-FOGGY,16,train,0.10792735680761957,522444.0,0.8
SegFormer-B0,Night-FOGGY,17,motorcycle,0.12331210191082803,3925.0,0.8
SegFormer-B0,Night-FOGGY,18,bicycle,0.32463085812112136,14019.0,0.8
SegFormer-B0,Night-RAIN,0,road,0.9482850377549137,52877753.0,0.8
SegFormer-B0,Night-RAIN,1,sidewalk,0.6570417841969013,2103714.0,0.8
SegFormer-B0,Night-RAIN,2,building,0.9198951123860156,20775761.0,0.8
SegFormer-B0,Night-RAIN,3,wall,0.620097282624293,2857242.0,0.8
SegFormer-B0,Night-RAIN,4,fence,0.7665599250504911,1302210.0,0.8
SegFormer-B0,Night-RAIN,5,pole,0.7194637669571706,337689.0,0.8
SegFormer-B0,Night-RAIN,6,traffic light,0.3871849970697402,10238.0,0.8
SegFormer-B0,Night-RAIN,7,traffic sign,0.1374342414591521,112723.0,0.8
SegFormer-B0,Night-RAIN,8,vegetation,0.8850244674176966,22784178.0,0.8
SegFormer-B0,Night-RAIN,9,terrain,0.6483026372662806,1293271.0,0.8
SegFormer-B0,Night-RAIN,10,sky,0.23880467488354515,45838575.0,0.8
SegFormer-B0,Night-RAIN,11,person,0.3457045176152257,54697.0,0.8
SegFormer-B0,Night-RAIN,12,rider,0.8651720219030892,9679.0,0.8
SegFormer-B0,Night-RAIN,13,car,0.9203093551092096,2851351.0,0.8
SegFormer-B0,Night-RAIN,14,truck,0.11977481221981415,269464.0,0.8
SegFormer-B0,Night-RAIN,15,bus,0.2178411868835876,142356.0,0.8
SegFormer-B0,Night-RAIN,16,train,0.24038557242498718,522444.0,0.8
SegFormer-B0,Night-RAIN,17,motorcycle,0.42420382165605097,3925.0,0.8
SegFormer-B0,Night-RAIN,18,bicycle,0.5533918253798417,14019.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,0,road,0.975583512408328,52877753.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,1,sidewalk,0.8077927893240241,2103714.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,2,building,0.9681013369377901,20775761.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,3,wall,0.692171681642647,2857242.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,4,fence,0.9289154591041383,1302210.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,5,pole,0.9106781683738587,337689.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,6,traffic light,0.8708732174252783,10238.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,7,traffic sign,0.5145090176805088,112723.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,8,vegetation,0.9392398093097762,22784178.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,9,terrain,0.48430839321379665,1293271.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,10,sky,0.8305169172471003,45838575.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,11,person,0.7674278296798728,54697.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,12,rider,0.950201467093708,9679.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,13,car,0.9812155711450466,2851351.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,14,truck,0.4030111629011668,269464.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,15,bus,0.9893295681249824,142356.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,16,train,0.5824566843527728,522444.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,17,motorcycle,0.4137579617834395,3925.0,0.8
SegFormer-B0,Sunset-EXTRASUNNY,18,bicycle,0.2887509808117555,14019.0,0.8
SegFormer-B0,Sunset-FOGGY,0,road,0.9540961961829203,52877753.0,0.8
SegFormer-B0,Sunset-FOGGY,1,sidewalk,0.7337223595983104,2103714.0,0.8
SegFormer-B0,Sunset-FOGGY,2,building,0.9527520556286723,20775761.0,0.8
SegFormer-B0,Sunset-FOGGY,3,wall,0.42735897064371864,2857242.0,0.8
SegFormer-B0,Sunset-FOGGY,4,fence,0.6911028175179118,1302210.0,0.8
SegFormer-B0,Sunset-FOGGY,5,pole,0.8257124158619321,337689.0,0.8
SegFormer-B0,Sunset-FOGGY,6,traffic light,0.5556749365110373,10238.0,0.8
SegFormer-B0,Sunset-FOGGY,7,traffic sign,0.14078759436849622,112723.0,0.8
SegFormer-B0,Sunset-FOGGY,8,vegetation,0.8512846941416978,22784178.0,0.8
SegFormer-B0,Sunset-FOGGY,9,terrain,0.37958478926690536,1293271.0,0.8
SegFormer-B0,Sunset-FOGGY,10,sky,0.7470899782552141,45838575.0,0.8
SegFormer-B0,Sunset-FOGGY,11,person,0.12869078742892665,54697.0,0.8
SegFormer-B0,Sunset-FOGGY,12,rider,0.9574336191755347,9679.0,0.8
SegFormer-B0,Sunset-FOGGY,13,car,0.915313127005409,2851351.0,0.8
SegFormer-B0,Sunset-FOGGY,14,truck,0.3057662619125375,269464.0,0.8
SegFormer-B0,Sunset-FOGGY,15,bus,0.10891708112057097,142356.0,0.8
SegFormer-B0,Sunset-FOGGY,16,train,0.2266424726860678,522444.0,0.8
SegFormer-B0,Sunset-FOGGY,17,motorcycle,0.7495541401273885,3925.0,0.8
SegFormer-B0,Sunset-FOGGY,18,bicycle,0.2578643269848063,14019.0,0.8
SegFormer-B0,Sunset-RAIN,0,road,0.9771845259763591,52877753.0,0.8
SegFormer-B0,Sunset-RAIN,1,sidewalk,0.8254952907096688,2103714.0,0.8
SegFormer-B0,Sunset-RAIN,2,building,0.946557336696355,20775761.0,0.8
SegFormer-B0,Sunset-RAIN,3,wall,0.5733067062572929,2857242.0,0.8
SegFormer-B0,Sunset-RAIN,4,fence,0.8072238732616092,1302210.0,0.8
SegFormer-B0,Sunset-RAIN,5,pole,0.8848319015425435,337689.0,0.8
SegFormer-B0,Sunset-RAIN,6,traffic light,0.8509474506739597,10238.0,0.8
SegFormer-B0,Sunset-RAIN,7,traffic sign,0.5197963148603213,112723.0,0.8
SegFormer-B0,Sunset-RAIN,8,vegetation,0.9322667247420556,22784178.0,0.8
SegFormer-B0,Sunset-RAIN,9,terrain,0.7418592081628677,1293271.0,0.8
SegFormer-B0,Sunset-RAIN,10,sky,0.9806553541422263,45838575.0,0.8
SegFormer-B0,Sunset-RAIN,11,person,0.4169698520942648,54697.0,0.8
SegFormer-B0,Sunset-RAIN,12,rider,0.8813927058580432,9679.0,0.8
SegFormer-B0,Sunset-RAIN,13,car,0.9121156953317918,2851351.0,0.8
