model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
SegFormer-B5,Day-FOGGY,0,road,0.9919530226705519,54520596.0,0.8
SegFormer-B5,Day-FOGGY,1,sidewalk,0.8259536296969499,4922849.0,0.8
SegFormer-B5,Day-FOGGY,2,building,0.9555421436468634,25181601.0,0.8
SegFormer-B5,Day-FOGGY,3,wall,0.8109596769016206,3442419.0,0.8
SegFormer-B5,Day-FOGGY,4,fence,0.8976839701817703,2063704.0,0.8
SegFormer-B5,Day-FOGGY,5,pole,0.9105273307856043,1384501.0,0.8
SegFormer-B5,Day-FOGGY,6,traffic light,0.8451045826722833,54837.0,0.8
SegFormer-B5,Day-FOGGY,7,traffic sign,0.8296508801961158,189276.0,0.8
SegFormer-B5,Day-FOGGY,8,vegetation,0.9460080898017798,23534322.0,0.8
SegFormer-B5,Day-FOGGY,9,terrain,0.8999516003618071,2520680.0,0.8
SegFormer-B5,Day-FOGGY,10,sky,0.9602400531604934,48812188.0,0.8
SegFormer-B5,Day-FOGGY,11,person,0.9213352471384932,135855.0,0.8
SegFormer-B5,Day-FOGGY,12,rider,0.9591138686712007,25143.0,0.8
SegFormer-B5,Day-FOGGY,13,car,0.9779554515741131,4005843.0,0.8
SegFormer-B5,Day-FOGGY,14,truck,0.803014547609887,384668.0,0.8
SegFormer-B5,Day-FOGGY,15,bus,0.570264765784114,491.0,0.8
SegFormer-B5,Day-FOGGY,16,train,0.5215874197450451,21494.0,0.8
SegFormer-B5,Day-FOGGY,17,motorcycle,0.8796451364685647,22093.0,0.8
SegFormer-B5,Day-FOGGY,18,bicycle,0.6753302435737765,48979.0,0.8
SegFormer-B5,Day-RAIN,0,road,0.9760562778880847,54520596.0,0.8
SegFormer-B5,Day-RAIN,1,sidewalk,0.6801283159406271,4922849.0,0.8
SegFormer-B5,Day-RAIN,2,building,0.9413164397291499,25181601.0,0.8
SegFormer-B5,Day-RAIN,3,wall,0.7322499091481891,3442419.0,0.8
SegFormer-B5,Day-RAIN,4,fence,0.8560476696270395,2063704.0,0.8
SegFormer-B5,Day-RAIN,5,pole,0.8665952570637363,1384501.0,0.8
SegFormer-B5,Day-RAIN,6,traffic light,0.8129729926874191,54837.0,0.8
SegFormer-B5,Day-RAIN,7,traffic sign,0.8207485365286671,189276.0,0.8
SegFormer-B5,Day-RAIN,8,vegetation,0.9470942481368275,23534322.0,0.8
SegFormer-B5,Day-RAIN,9,terrain,0.82368963930368,2520680.0,0.8
SegFormer-B5,Day-RAIN,10,sky,0.9852390554588538,48812188.0,0.8
SegFormer-B5,Day-RAIN,11,person,0.9140259835854404,135855.0,0.8
SegFormer-B5,Day-RAIN,12,rider,0.8998528417452174,25143.0,0.8
SegFormer-B5,Day-RAIN,13,car,0.9079417241264822,4005843.0,0.8
SegFormer-B5,Day-RAIN,14,truck,0.8481677706489752,384668.0,0.8
SegFormer-B5,Day-RAIN,15,bus,0.570264765784114,491.0,0.8
SegFormer-B5,Day-RAIN,16,train,0.40336838187401136,21494.0,0.8
SegFormer-B5,Day-RAIN,17,motorcycle,0.9200199158104377,22093.0,0.8
SegFormer-B5,Day-RAIN,18,bicycle,0.6567508524061333,48979.0,0.8
SegFormer-B5,Night-EXTRASUNNY,0,road,0.9782841148691771,54520596.0,0.8
SegFormer-B5,Night-EXTRASUNNY,1,sidewalk,0.7865368204468591,4922849.0,0.8
SegFormer-B5,Night-EXTRASUNNY,2,building,0.9440508171025345,25181601.0,0.8
SegFormer-B5,Night-EXTRASUNNY,3,wall,0.8657850772959363,3442419.0,0.8
SegFormer-B5,Night-EXTRASUNNY,4,fence,0.7991717804491342,2063704.0,0.8
SegFormer-B5,Night-EXTRASUNNY,5,pole,0.7899337017452497,1384501.0,0.8
SegFormer-B5,Night-EXTRASUNNY,6,traffic light,0.3998577602713496,54837.0,0.8
SegFormer-B5,Night-EXTRASUNNY,7,traffic sign,0.5698081109068239,189276.0,0.8
SegFormer-B5,Night-EXTRASUNNY,8,vegetation,0.9294576236358115,23534322.0,0.8
SegFormer-B5,Night-EXTRASUNNY,9,terrain,0.6632432518209372,2520680.0,0.8
SegFormer-B5,Night-EXTRASUNNY,10,sky,0.5152047476339311,48812188.0,0.8
SegFormer-B5,Night-EXTRASUNNY,11,person,0.8662986272128372,135855.0,0.8
SegFormer-B5,Night-EXTRASUNNY,12,rider,0.8547508252794018,25143.0,0.8
SegFormer-B5,Night-EXTRASUNNY,13,car,0.9515427838784496,4005843.0,0.8
SegFormer-B5,Night-EXTRASUNNY,14,truck,0.8048706936891034,384668.0,0.8
SegFormer-B5,Night-EXTRASUNNY,15,bus,0.8004073319755601,491.0,0.8
SegFormer-B5,Night-EXTRASUNNY,16,train,0.0,21494.0,0.8
SegFormer-B5,Night-EXTRASUNNY,17,motorcycle,0.8653872267233965,22093.0,0.8
SegFormer-B5,Night-EXTRASUNNY,18,bicycle,0.7493823883705262,48979.0,0.8
SegFormer-B5,Night-FOGGY,0,road,0.9658282899181806,54520596.0,0.8
SegFormer-B5,Night-FOGGY,1,sidewalk,0.7786686124234158,4922849.0,0.8
SegFormer-B5,Night-FOGGY,2,building,0.9673137541969631,25181601.0,0.8
SegFormer-B5,Night-FOGGY,3,wall,0.5801295542465923,3442419.0,0.8
SegFormer-B5,Night-FOGGY,4,fence,0.7110908347321128,2063704.0,0.8
SegFormer-B5,Night-FOGGY,5,pole,0.5856124336493798,1384501.0,0.8
SegFormer-B5,Night-FOGGY,6,traffic light,0.2505972245017051,54837.0,0.8
SegFormer-B5,Night-FOGGY,7,traffic sign,0.5620628077516431,189276.0,0.8
SegFormer-B5,Night-FOGGY,8,vegetation,0.7620640611613966,23534322.0,0.8
SegFormer-B5,Night-FOGGY,9,terrain,0.6204754272656585,2520680.0,0.8
SegFormer-B5,Night-FOGGY,10,sky,0.3264949934225444,48812188.0,0.8
SegFormer-B5,Night-FOGGY,11,person,0.85623642854514,135855.0,0.8
SegFormer-B5,Night-FOGGY,12,rider,0.7762796802290896,25143.0,0.8
SegFormer-B5,Night-FOGGY,13,car,0.9306340762730841,4005843.0,0.8
