sec_condition,Mask2Former-Swin-L,Mask2Former-Swin-S,SegFormer-B0,SegFormer-B2,SegFormer-B5
Day-RAIN,0.9777642759946313,0.9696266037402766,0.9577614364057484,0.9540461809328287,0.9488678149657674
Day-FOGGY,0.9770607547004624,0.9765586493038895,0.9523808466325893,0.9628330014719821,0.9582213493857054
Sunset-EXTRASUNNY,0.9690303843800384,0.9565107934545762,0.9109086105138948,0.9512208641165554,0.9556159235463284
Sunset-RAIN,0.971407140835677,0.9639384581310915,0.9478150523535096,0.9502350451922653,0.9427199104044697
Sunset-FOGGY,0.9501202448759929,0.9295777855533185,0.8501782632700288,0.8945788375221857,0.8884736039850971
Night-EXTRASUNNY,0.9424508603492586,0.8742086955226294,0.7500656964165149,0.782396270792083,0.8162945626985909
Night-RAIN,0.8647223858550044,0.7348071993282526,0.704258934105977,0.7048633051390695,0.6843834008910868
Night-FOGGY,0.8393200205104185,0.7538062434385319,0.6788746195264382,0.6832325095587438,0.7289426692641607
