model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
SegFormer-B2,Night-FOGGY,7,traffic sign,0.30397807320884246,234234.0,0.8
SegFormer-B2,Night-FOGGY,8,vegetation,0.7229464987597272,22975187.0,0.8
SegFormer-B2,Night-FOGGY,9,terrain,0.5115285604953733,1652895.0,0.8
SegFormer-B2,Night-FOGGY,10,sky,0.20045401557248543,46723948.0,0.8
SegFormer-B2,Night-FOGGY,11,person,0.5764583508447507,95176.0,0.8
SegFormer-B2,Night-FOGGY,12,rider,0.6249859943977591,17850.0,0.8
SegFormer-B2,Night-FOGGY,13,car,0.8773178674754337,3642087.0,0.8
SegFormer-B2,Night-FOGGY,14,truck,0.7986415379132513,286206.0,0.8
SegFormer-B2,Night-FOGGY,15,bus,0.5252214031069026,61991.0,0.8
SegFormer-B2,Night-FOGGY,16,train,0.0,91128.0,0.8
SegFormer-B2,Night-FOGGY,17,motorcycle,0.0,13439.0,0.8
SegFormer-B2,Night-FOGGY,18,bicycle,0.8343287179624521,37339.0,0.8
SegFormer-B2,Night-RAIN,0,road,0.9733747613827348,55618356.0,0.8
SegFormer-B2,Night-RAIN,1,sidewalk,0.6995775339475735,2415342.0,0.8
SegFormer-B2,Night-RAIN,2,building,0.9279370835455415,23220126.0,0.8
SegFormer-B2,Night-RAIN,3,wall,0.7093134248766831,2437825.0,0.8
SegFormer-B2,Night-RAIN,4,fence,0.7415948354524572,1698658.0,0.8
SegFormer-B2,Night-RAIN,5,pole,0.6989260329289713,974704.0,0.8
SegFormer-B2,Night-RAIN,6,traffic light,0.5708524571274941,52073.0,0.8
SegFormer-B2,Night-RAIN,7,traffic sign,0.23298496375419453,234234.0,0.8
SegFormer-B2,Night-RAIN,8,vegetation,0.8683242055875323,22975187.0,0.8
SegFormer-B2,Night-RAIN,9,terrain,0.7520453507331076,1652895.0,0.8
SegFormer-B2,Night-RAIN,10,sky,0.18113743299260585,46723948.0,0.8
SegFormer-B2,Night-RAIN,11,person,0.6195469446078843,95176.0,0.8
SegFormer-B2,Night-RAIN,12,rider,0.5454341736694678,17850.0,0.8
SegFormer-B2,Night-RAIN,13,car,0.9070876121300782,3642087.0,0.8
SegFormer-B2,Night-RAIN,14,truck,0.7312320496425652,286206.0,0.8
SegFormer-B2,Night-RAIN,15,bus,0.20451355841977062,61991.0,0.8
SegFormer-B2,Night-RAIN,16,train,0.02413089281011325,91128.0,0.8
SegFormer-B2,Night-RAIN,17,motorcycle,0.13371530619837785,13439.0,0.8
SegFormer-B2,Night-RAIN,18,bicycle,0.9985805725916602,37339.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,0,road,0.9796521134137801,55618356.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,1,sidewalk,0.8282081792143722,2415342.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,2,building,0.9607953031779414,23220126.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,3,wall,0.716283162245034,2437825.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,4,fence,0.8613340648912259,1698658.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,5,pole,0.9122133488730938,974704.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,6,traffic light,0.7111362894398249,52073.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,7,traffic sign,0.6964146964146964,234234.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,8,vegetation,0.9643866228379339,22975187.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,9,terrain,0.5825221807797833,1652895.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,10,sky,0.9481981916425384,46723948.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,11,person,0.7026456249474657,95176.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,12,rider,0.8303081232492997,17850.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,13,car,0.9453036130108918,3642087.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,14,truck,0.8397692571085162,286206.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,15,bus,0.5200109693342582,61991.0,0.8
SegFormer-B2,Sunset-EXTRASUNNY,16,train,0.42624659819155475,91128.0,0.8
