model,class_id,class_name,retention_masked_global,mass_clean_masked_global,conf_threshold
Mask2Former-Swin-L,4,fence,0.8498344310663869,10341312.0,0.8
Mask2Former-Swin-L,5,pole,0.7940562682564061,9240592.0,0.8
Mask2Former-Swin-L,6,traffic light,0.7921467244874394,311768.0,0.8
Mask2Former-Swin-L,7,traffic sign,0.5181651740415583,1450688.0,0.8
Mask2Former-Swin-L,8,vegetation,0.936829660853592,150486512.0,0.8
Mask2Former-Swin-L,9,terrain,0.850140426376697,22606864.0,0.8
Mask2Former-Swin-L,10,sky,0.8923454618830202,348691320.0,0.8
Mask2Former-Swin-L,11,person,0.7922138958115951,927704.0,0.8
Mask2Former-Swin-L,12,rider,0.6989853747714808,328200.0,0.8
Mask2Former-Swin-L,13,car,0.9447475145531171,29902872.0,0.8
Mask2Former-Swin-L,14,truck,0.6149059942244454,4313352.0,0.8
Mask2Former-Swin-L,15,bus,0.12585324232081913,7032.0,0.8
Mask2Former-Swin-L,16,train,0.15550483575120894,95952.0,0.8
Mask2Former-Swin-L,17,motorcycle,0.8014584252315836,145088.0,0.8
Mask2Former-Swin-L,18,bicycle,0.48061901397393625,203808.0,0.8
