model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,conf_threshold
Mask2Former-Swin-L,Night-FOGGY,2,building,0.9341434363823051,17784651.0,0.8
Mask2Former-Swin-L,Night-FOGGY,3,wall,0.8679680283618609,2540877.0,0.8
Mask2Former-Swin-L,Night-FOGGY,4,fence,0.7897496952030845,1292664.0,0.8
Mask2Former-Swin-L,Night-FOGGY,5,pole,0.6849786247461201,1155074.0,0.8
Mask2Former-Swin-L,Night-FOGGY,6,traffic light,0.8051628133740474,38971.0,0.8
Mask2Former-Swin-L,Night-FOGGY,7,traffic sign,0.39405302863193187,181336.0,0.8
Mask2Former-Swin-L,Night-FOGGY,8,vegetation,0.8752848228683777,18810814.0,0.8
Mask2Former-Swin-L,Night-FOGGY,9,terrain,0.8563098358091595,2825858.0,0.8
Mask2Former-Swin-L,Night-FOGGY,10,sky,0.6158613182570762,43586415.0,0.8
Mask2Former-Swin-L,Night-FOGGY,11,person,0.8376292438105257,115963.0,0.8
Mask2Former-Swin-L,Night-FOGGY,12,rider,0.6999390615478367,41025.0,0.8
Mask2Former-Swin-L,Night-FOGGY,13,car,0.9525316498027346,3737859.0,0.8
Mask2Former-Swin-L,Night-FOGGY,14,truck,0.6487075480971644,539169.0,0.8
Mask2Former-Swin-L,Night-FOGGY,15,bus,0.0,879.0,0.8
Mask2Former-Swin-L,Night-FOGGY,16,train,0.0,11994.0,0.8
Mask2Former-Swin-L,Night-FOGGY,17,motorcycle,0.6112704014115571,18136.0,0.8
Mask2Former-Swin-L,Night-FOGGY,18,bicycle,0.6836630554247135,25476.0,0.8
Mask2Former-Swin-L,Night-RAIN,0,road,0.9951844601997831,49153991.0,0.8
Mask2Former-Swin-L,Night-RAIN,1,sidewalk,0.8882260858027297,1416878.0,0.8
Mask2Former-Swin-L,Night-RAIN,2,building,0.949688076532961,17784651.0,0.8
Mask2Former-Swin-L,Night-RAIN,3,wall,0.8809474051675859,2540877.0,0.8
Mask2Former-Swin-L,Night-RAIN,4,fence,0.836053297686019,1292664.0,0.8
Mask2Former-Swin-L,Night-RAIN,5,pole,0.7334170797715125,1155074.0,0.8
Mask2Former-Swin-L,Night-RAIN,6,traffic light,0.8140155500243771,38971.0,0.8
Mask2Former-Swin-L,Night-RAIN,7,traffic sign,0.3910861604976397,181336.0,0.8
Mask2Former-Swin-L,Night-RAIN,8,vegetation,0.8988048045129785,18810814.0,0.8
Mask2Former-Swin-L,Night-RAIN,9,terrain,0.9027661687176072,2825858.0,0.8
Mask2Former-Swin-L,Night-RAIN,10,sky,0.664897376854692,43586415.0,0.8
Mask2Former-Swin-L,Night-RAIN,11,person,0.6636599605046437,115963.0,0.8
Mask2Former-Swin-L,Night-RAIN,12,rider,0.7465935405240707,41025.0,0.8
Mask2Former-Swin-L,Night-RAIN,13,car,0.9395771750619807,3737859.0,0.8
Mask2Former-Swin-L,Night-RAIN,14,truck,0.7245576062421987,539169.0,0.8
Mask2Former-Swin-L,Night-RAIN,15,bus,0.0,879.0,0.8
Mask2Former-Swin-L,Night-RAIN,16,train,0.24437218609304653,11994.0,0.8
Mask2Former-Swin-L,Night-RAIN,17,motorcycle,0.7428870754300838,18136.0,0.8
Mask2Former-Swin-L,Night-RAIN,18,bicycle,0.8844010048673261,25476.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,0,road,0.9956433039180888,49153991.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,1,sidewalk,0.9375401410707203,1416878.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,2,building,0.9734427737716079,17784651.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,3,wall,0.7301951255412993,2540877.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,4,fence,0.9020333203369166,1292664.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,5,pole,0.8726479861896294,1155074.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,6,traffic light,0.6956454799722871,38971.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,7,traffic sign,0.6156471963647594,181336.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,8,vegetation,0.9868856286601951,18810814.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,9,terrain,0.7619689312060266,2825858.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,10,sky,0.9814211148129526,43586415.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,11,person,0.8168036356424032,115963.0,0.8
Mask2Former-Swin-L,Sunset-EXTRASUNNY,12,rider,0.7337720901889092,41025.0,0.8
