location_id,scenario_counter,x,y,global_time,scene_sampling_time,semantic_scene_construction_time,condition_wise_rendering_time,pipeline_time
0,283169,1207.2868868359246,-335.324057403712,34.1543587,0.00037399999999987443,5.228784600000001,22.451330100000003,27.680493600000002
1,1085115,1259.077056098733,-400.04102078435903,64.6442284,0.0002896000000021104,3.776643199999995,23.165916700000004,26.942854199999992
2,822340,-1061.683326994314,-687.0164754202606,97.4273055,0.00030190000001084627,7.437150200000005,22.123751899999988,29.5612093
3,2671938,1150.345254751021,-1969.991152636727,136.9330318,0.0003513999999995576,11.8180294,24.388873199999992,36.20726189999999
4,26157,-916.9570425681098,602.1629122005761,169.935379,0.0003523000000029697,6.141360700000007,22.982146400000005,29.123866700000008
5,503341,-513.3739366925226,-2014.1561789042162,201.2527762,0.00018840000001318913,4.695047200000005,22.690599300000002,27.385840400000006
6,8101060,-85.12664334376609,668.2865722915571,239.2846722,0.0003834000000040305,10.459555999999992,23.860261700000024,34.32020690000002
7,633568,-134.91307071710435,35.30969787655067,272.55595189999997,0.000400899999988269,6.441900599999997,23.162001300000014,29.6043095
8,3471857,844.6781959980094,926.7793364023387,306.58260299999995,0.00030129999998962376,7.035145699999987,24.132729900000015,31.168188499999985
9,83287,-487.157202684151,-1552.2290668101105,339.70969219999995,0.000212200000021312,5.370689499999969,23.6707763,29.041683799999987
10,8931123,-746.1453446337083,-1613.5712346476564,372.0903605,0.0002605999999900632,6.1363836999999535,22.532446499999992,28.669098700000006
11,103878,207.2115110646646,203.74151918907546,406.7183573,0.00037359999998898274,7.7893691000000445,23.806095999999968,31.59584369999999
12,822541,1249.0592238941572,-1427.8902423416512,443.4624889,0.0004417000000103144,8.477325599999972,24.13316260000005,32.61094969999999
13,264117,-525.7806805418705,-339.1017895881132,480.1366619,0.0003060999999888736,7.678173000000015,25.192952900000023,32.8714382
14,7861164,-866.378931992981,-2176.975389622979,519.4431067,0.00036199999999553256,11.111083800000017,24.164953300000036,35.276404699999944
15,825566,-297.5083629739794,1028.2221180591623,553.2925748,0.00047580000000380096,5.484615599999984,24.205269699999917,29.690367599999945
16,866667,178.9629866074706,-2026.8537523730372,587.6543567,0.0003586999999924956,7.512380000000007,23.216314900000043,30.72906349999994
17,5941292,-89.61728585001742,-1689.3368935990884,623.2258134,0.00022709999996095576,6.435717700000055,24.79567809999992,31.23163020000004
18,8951289,-1122.8589060094907,-963.4125128003773,658.0932127,0.0003490999999939959,5.638938499999995,24.889377399999944,30.528672400000005
19,700886,641.8138909572549,-1840.1283994570065,689.4138942000001,0.00025199999993219535,3.0966289000000415,23.92046479999999,27.01735199999996
20,1113661,-709.3038036188045,-399.7792034319052,727.0308569,0.0005009999999856518,9.281450899999982,24.531902299999956,33.81385990000001
21,13313,439.66707522127444,1063.8675602210847,762.1550307,0.0002292999998871892,7.8447265999999445,23.870820600000002,31.715782000000104
22,1139300,-261.84383121048927,772.9009529097661,797.7634317000001,0.00038749999998799467,7.577240300000085,23.933909900000003,31.511542200000008
23,66384,-259.70702158194035,50.07738048558804,830.896786,0.00021300000003066089,5.7767092000000275,23.803000999999995,29.57992950000005
24,11691861,-526.7422629379819,-955.1448743572241,864.0707236000001,0.0002982999999403546,5.842358999999988,23.227373299999954,29.070036999999957
25,12481137,819.6664816879995,-1633.0797466656309,897.980218,0.00023529999998572748,7.194822499999987,23.216005999999993,30.411069999999995
26,1751925,-237.9225264946706,1046.2605535142152,933.6971959,0.0004017999999632593,6.621812400000067,24.6266842,31.248906799999986
27,306812,-548.8695171042227,816.8726459280579,970.5955033,0.0003503000000364409,8.956468700000073,23.85672139999997,32.81354669999996
28,4331156,-191.37119980563307,-19.473538101000486,1002.6160435,0.00018560000000888977,4.24564190000001,24.054639599999973,28.300473499999953
29,808106,-61.18183082077462,-190.24952519755175,1034.9290756,0.00037859999997635896,5.78200019999997,23.16560019999997,28.947986400000104
