model,reference_model,loc_id,sec_condition,pixel_agreement_masked,metric_type,reference_input_source,model_input_source,adapter_input_norm,conf_threshold,coverage_masked,coverage_ref_masked,clean_path,sec_path
SegFormer-B0,SegFormer-B5,10901081,Day-FOGGY,0.9476837897609217,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
SegFormer-B0,SegFormer-B5,11101250,Sunset-FOGGY,0.4907280307471087,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
SegFormer-B2,SegFormer-B5,10901081,Day-FOGGY,0.915602511169174,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
SegFormer-B2,SegFormer-B5,11101250,Sunset-FOGGY,0.8151825481898962,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
SegFormer-B5,SegFormer-B5,10901081,Day-FOGGY,0.9780350725438964,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
SegFormer-B5,SegFormer-B5,11101250,Sunset-FOGGY,0.8925371982474647,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
Mask2Former-Swin-S,SegFormer-B5,10901081,Day-FOGGY,0.9480616690000803,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
Mask2Former-Swin-S,SegFormer-B5,11101250,Sunset-FOGGY,0.8983144814546429,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
Mask2Former-Swin-L,SegFormer-B5,10901081,Day-FOGGY,0.9356774850854743,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9857290387153625,0.9857290387153625,/home/ace/Downloads/Dataset/Day/10901081_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/10901081_Day_FOGGY.png
Mask2Former-Swin-L,SegFormer-B5,11101250,Sunset-FOGGY,0.8775846972643448,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9681611657142639,0.9681611657142639,/home/ace/Downloads/Dataset/Day/11101250_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/11101250_Sunset_FOGGY.png
