model,reference_model,class_id,class_name,retention_masked_global,mass_clean_masked_global,mass_reference_masked_global,metric_type,conf_threshold
SegFormer-B5,SegFormer-B5,12,rider,0.8281611857341362,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
SegFormer-B5,SegFormer-B5,13,car,0.9411941075214332,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
SegFormer-B5,SegFormer-B5,14,truck,0.7296015583796934,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
SegFormer-B5,SegFormer-B5,15,bus,0.46108490566037735,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
SegFormer-B5,SegFormer-B5,16,train,0.39589115016959603,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
SegFormer-B5,SegFormer-B5,17,motorcycle,0.711346910833476,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
SegFormer-B5,SegFormer-B5,18,bicycle,0.7439314247159309,65213.0,65213.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,0,road,0.9570705801854367,55167948.0,55167948.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,1,sidewalk,0.4807241999524892,5598730.0,5598730.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,2,building,0.8456894664805037,26891126.0,26891126.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,3,wall,0.48714191971760873,3889072.0,3889072.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,4,fence,0.5968828607797252,2338747.0,2338747.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,5,pole,0.5861954646207368,1930467.0,1930467.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,6,traffic light,0.593688803606398,76087.0,76087.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,7,traffic sign,0.37312164486911104,241235.0,241235.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,8,vegetation,0.8038111408835108,25085874.0,25085874.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,9,terrain,0.7205536479332061,3009855.0,3009855.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,10,sky,0.8471851154008904,49620631.0,49620631.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,11,person,0.6510758168909585,165781.0,165781.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,12,rider,0.5927512737378416,34544.0,34544.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,13,car,0.7403870492290933,4239099.0,4239099.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,14,truck,0.7963494615423876,470232.0,470232.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,15,bus,0.0,2544.0,2544.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,16,train,0.2796022201665125,25944.0,25944.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,17,motorcycle,0.5197330138627417,29215.0,29215.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-S,SegFormer-B5,18,bicycle,0.3276493950592673,65213.0,65213.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,0,road,0.9727968493589793,55167948.0,55167948.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,1,sidewalk,0.5205952064128829,5598730.0,5598730.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,2,building,0.8435303155397806,26891126.0,26891126.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,3,wall,0.5338744049994446,3889072.0,3889072.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,4,fence,0.5913987276092711,2338747.0,2338747.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,5,pole,0.6174640643947812,1930467.0,1930467.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,6,traffic light,0.47177573041386833,76087.0,76087.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,7,traffic sign,0.5816237279001804,241235.0,241235.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,8,vegetation,0.8410963476895403,25085874.0,25085874.0,reference_clean_vs_model_adverse,0.6
Mask2Former-Swin-L,SegFormer-B5,9,terrain,0.7552167795458585,3009855.0,3009855.0,reference_clean_vs_model_adverse,0.6
