model,reference_model,sec_condition,pixel_agreement_masked_mean,metric_type,n_pairs,conf_threshold
DeepLabV3+-R101,SegFormer-B5,Night-FOGGY,0.7493902566513785,reference_clean_vs_model_adverse,9,0.6
DeepLabV3+-R101,SegFormer-B5,Sunset-EXTRASUNNY,0.8868036999732876,reference_clean_vs_model_adverse,11,0.6
DeepLabV3+-R101,SegFormer-B5,Night-RAIN,0.6060365850077043,reference_clean_vs_model_adverse,7,0.6
PIDNet-M,SegFormer-B5,Sunset-FOGGY,0.6693215433135093,reference_clean_vs_model_adverse,9,0.6
PIDNet-M,SegFormer-B5,Night-EXTRASUNNY,0.5177581039476977,reference_clean_vs_model_adverse,12,0.6
PIDNet-M,SegFormer-B5,Day-FOGGY,0.8156213786633817,reference_clean_vs_model_adverse,24,0.6
PIDNet-M,SegFormer-B5,Day-RAIN,0.7987803994270337,reference_clean_vs_model_adverse,17,0.6
PIDNet-M,SegFormer-B5,Sunset-RAIN,0.7932439640766584,reference_clean_vs_model_adverse,12,0.6
PIDNet-M,SegFormer-B5,Night-FOGGY,0.4534984967292175,reference_clean_vs_model_adverse,9,0.6
PIDNet-M,SegFormer-B5,Sunset-EXTRASUNNY,0.6535575541898336,reference_clean_vs_model_adverse,11,0.6
PIDNet-M,SegFormer-B5,Night-RAIN,0.43556497409240286,reference_clean_vs_model_adverse,7,0.6
DDRNet-23,SegFormer-B5,Sunset-FOGGY,0.25870088217658843,reference_clean_vs_model_adverse,9,0.6
DDRNet-23,SegFormer-B5,Night-EXTRASUNNY,0.3486327745521567,reference_clean_vs_model_adverse,12,0.6
DDRNet-23,SegFormer-B5,Day-FOGGY,0.6696021095203982,reference_clean_vs_model_adverse,24,0.6
DDRNet-23,SegFormer-B5,Day-RAIN,0.6375308698624607,reference_clean_vs_model_adverse,17,0.6
DDRNet-23,SegFormer-B5,Sunset-RAIN,0.33584202103363997,reference_clean_vs_model_adverse,12,0.6
DDRNet-23,SegFormer-B5,Night-FOGGY,0.27276004191772274,reference_clean_vs_model_adverse,9,0.6
DDRNet-23,SegFormer-B5,Sunset-EXTRASUNNY,0.3015242896083236,reference_clean_vs_model_adverse,11,0.6
DDRNet-23,SegFormer-B5,Night-RAIN,0.3036741156697134,reference_clean_vs_model_adverse,7,0.6
