model,reference_model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,mass_reference_masked,metric_type,conf_threshold
SegFormer-B0,SegFormer-B5,Night-EXTRASUNNY,18,bicycle,0.0,5.0,5.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,0,road,0.9623955008077563,12919119.0,12919119.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,1,sidewalk,0.6206294714011295,1491982.0,1491982.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,2,building,0.8873332655346461,7355108.0,7355108.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,3,wall,0.42415199818690036,608902.0,608902.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,4,fence,0.6321371396520093,427885.0,427885.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,5,pole,0.5360662926855403,503947.0,503947.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,6,traffic light,0.12274742562929061,27968.0,27968.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,7,traffic sign,0.6176255910634382,63022.0,63022.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,8,vegetation,0.8577930367063924,5790708.0,5790708.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,9,terrain,0.7091662156830192,927602.0,927602.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,10,sky,0.8887764000145202,11211973.0,11211973.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,11,person,0.055931718481785235,20972.0,20972.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,12,rider,0.009059419131361577,3753.0,3753.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,13,car,0.8230585862202038,1039101.0,1039101.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,14,truck,0.7300096419190744,120308.0,120308.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,16,train,0.0,192.0,192.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Day-FOGGY,17,motorcycle,0.0,7.0,7.0,reference_clean_vs_model_adverse,0.6
